"","Date","Year","Country","Area","Location"
"1","25-Jun-2018",2018,"USA","California","Oceanside, San Diego County"
"2","18-Jun-2018",2018,"USA","Georgia","St. Simon Island, Glynn County"
"3","09-Jun-2018",2018,"USA","Hawaii","Habush, Oahu"
"4","08-Jun-2018",2018,"AUSTRALIA","New South Wales","Arrawarra Headland"
"5","04-Jun-2018",2018,"MEXICO","Colima","La Ticla"
"6","03-Jun-2018",2018,"AUSTRALIA","New South Wales","Flat Rock, Ballina"
"7","03-Jun-2018",2018,"BRAZIL","Pernambuco","Piedade Beach, Recife"
"8","27-May-2018",2018,"USA","Florida","Lighhouse Point Park, Ponce Inlet, Volusia County"
"9","26-May-2018",2018,"USA","Florida","Cocoa Beach, Brevard  County"
"10","26-May-2018",2018,"USA","Florida","Daytona Beach, Volusia County"
"11","24-May-2018",2018,"AUSTRALIA","Queensland","Cairns Aquarium"
"12","21-May-2018",2018,"USA","South Carolina","Isle of Palms,  Charleston County"
"13","13-May-2018",2018,"USA","South Carolina","Hilton Head Island, Beaufort County"
"14","13-May-2018",2018,"ENGLAND","Cornwall","Off Land's End"
"15","May 2018",2018,"AUSTRALIA","Westerm Australia","Dugong Bay"
"16","12-May-2018",2018,"SOUTH AFRICA","Eastern Cape Province","Nahoon Beach, East London"
"17","09-May-2018",2018,"AUSTRALIA","New South Wales","Sharpes Beach, Ballina"
"18","Reported 30-Apr-2018",2018,"THAILAND","Hua Hin","Sai Noi Beach"
"19","28-Apr-2018",2018,"COSTA RICA","Cocos Island","Manuelita"
"20","28-Apr-2018",2018,"AUSTRALIA","Western Australia","Gearys Beach"
"21","25-Apr-2018",2018,"AUSTRALIA","New South Wales","Lennox Head"
"22","25-Apr-2018",2018,"AUSTRALIA","Western Australia","Surfers Point, Prevelly"
"23","24-Apr-2018",2018,"AUSTRALIA","Western Australia","South Point, Gracetown"
"24","23-Apr-2018",2018,"MALDIVES","Alifu Alifu Atoll","Madoogali"
"25","22-Apr-2018",2018,"SOUTH AFRICA","Western Cape Province","Robberg Beach, Plettenberg Bay"
"26","19-Apr-2018",2018,"USA","Hawaii","Shipwreck’s Beach, Keoneloa Bay, Kauai"
"27","15-Apr-2018",2018,"THAILAND","Hua Hin","Sai Noi Beach"
"28","15-Apr-2018",2018,"BRAZIL","Pernambuco","Piedade"
"29","15-Apr-2018",2018,"AUSTRALIA","Western Australia","Lefthanders, Margaret River Area"
"30","15-Apr-2018",2018,"AUSTRALIA","Western Australia","Cobblestones, Margaret River Area"
"31","14-Apr-2018",2018,"BAHAMAS","New Providence","Nirvana Beach"
"32","Reported 10-Apr-2018",2018,"BRAZIL","Alagoas","Praia de Sauaçuhy, Maceió"
"33","09-Apr-2018",2018,"NEW CALEDONIA","","Magenta Beach, Noumea"
"34","05-Apr-2018",2018,"BAHAMAS","","Bimini"
"35","03-Apr-2018",2018,"SOUTH AFRICA","Eastern Cape Province","St. Francis Bay"
"36","31-Mar-2018",2018,"USA","Hawaii","Kukio Beach"
"37","14-Mar-2018",2018,"AUSTRALIA","Western Australia","Waterman's Bay"
"38","9-Mar-2018",2018,"AUSTRALIA","Victoria","Lorne"
"39","9-Mar-2018",2018,"AUSTRALIA","Victoria","Winkipop"
"40","24-Feb-2018",2018,"SOUTH AFRICA","KwaZulu-Natal","Durban"
"41","23-Feb-2018",2018,"AUSTRALIA","New South Wales","Little Congwong Beach, La Perouse "
"42","18-Feb-2018",2018,"AUSTRALIA","Victoria","Westernport Bay"
"43","15-Feb-2018",2018,"AUSTRALIA","New South Wales","Surf Beach, Kiama"
"44","14-Feb-2018",2018,"AUSTRALIA","Queensland","Mooloolaba Beach"
"45","11-Feb-2018",2018,"BRAZIL","Boi Island, Victoria","Espirito Santo"
"46","03-Feb-2018",2018,"ECUADOR","Galapagos Islands","Santa Fe Island"
"47","01-Feb-2018",2018,"AUSTRALIA","Western Australia","Avalon Point, Manurah"
"48","28-Jan-2018",2018,"AUSTRALIA","Western Australia","Cone Bay"
"49","21-Jan-2018",2018,"NEW CALEDONIA","","Nouville"
"50","14-Jan-2018",2018,"AUSTRALIA","Queensland","Lizard Island"
"51","13-Jan-2018",2018,"AUSTRALIA","New South Wales","Martin Islet"
"52","12-Jan-2018",2018,"BRAZIL","Fernando de Noronha","Conceicao Beach"
"53","05-Jan-2018",2018,"AUSTRALIA","Western Australia","South Point, Gracetown"
"54","31-Dec-2017",2017,"USA","Hawaii","Hultin's Beach, Oahu"
"55","30-Dec-2017",2017,"USA","California","Drakes Estero, Point Reyes, Marin County"
"56","21-Dec-2017",2017,"MALAYSIA","Sepang","Bagan Lalang Beach"
"57","09-Dec-2017",2017,"BAHAMAS","",""
"58","30-Nov-2017",2017,"COSTA RICA","Cocos Island","Manuelita"
